"Adresse","Indexierbarkeit","Indexierbarkeitsstatus","Crawltiefe","Link Score","Inlinks","Einzigartige Inlinks","Einzigartige JS-Inlinks","% von Gesamt","Outlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Externe Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks"
"https://www.delst.de/de/lexikon/x/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","82","63","0","10","10","0"
"https://www.delst.de/de/lexikon/adcell/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/a-b-test/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/affektiv/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/administrativ/","Indexierbar","","2","","2","2","0","0,630","79","60","0","10","10","0"
"https://www.delst.de/de/lexikon/s/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","371","352","0","10","10","0"
"https://www.delst.de/de/lexikon/absatzhelfer/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/o/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","153","134","0","10","10","0"
"https://www.delst.de/de/lexikon/k/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","246","227","0","10","10","0"
"https://www.delst.de/de/lexikon/affinität/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/g/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","219","200","0","10","10","0"
"https://www.delst.de/de/lexikon/f/","Nicht indexierbar","Canonicalised","2","","77","76","0","24,050","204","184","0","10","10","0"
"https://www.delst.de/de/lexikon/abgaben/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/advanced-persistent-threats/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/affinity/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/absolutheitsprinzip/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/abgabeordnung-ao/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
