"Site gecrawlt","https://www.ehip.eu/"
"Datum","2024-08-27"
"Zeit","17:05:50"
""
"Zusammenfassung","URLs","% von Gesamt","URLs insgesamt","Beschreibung von URLs insgesamt"
"Paginierungsschleife","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Sequenzfehler","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
""
"Direktive"
"Alle","430","100,00%","430","Interne URLs mit 2xx-Antwort"
"Index","105","24,42%","430","Interne URLs mit 2xx-Antwort"
"Noindex","17","3,95%","430","Interne URLs mit 2xx-Antwort"
"Follow","105","24,42%","430","Interne URLs mit 2xx-Antwort"
"Nofollow","17","3,95%","430","Interne URLs mit 2xx-Antwort"
"None","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"NoArchive","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"NoSnippet","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"Max-Snippet","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"Max-Image-Preview","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"Max-Video-Preview","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"NoODP","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"NoYDIR","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"NoImageIndex","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"NoTranslate","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"Unavailable_After","0","0,00%","430","Interne URLs mit 2xx-Antwort"
"Refresh","0","0,00%","129","Interne HTML-Seiten mit 2xx-Antwort"
"Außerhalb von <head>","0","0,00%","430","Interne URLs mit 2xx-Antwort"
""
"Hreflang"
"Alle","122","100,00%","122","Interne Seiten mit 2xx-Antwort"
"Enthält hreflang","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"hreflang-URLs ohne Status-Code 200","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Nicht verlinkte hreflang-URLs","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Fehlende Rückverweise","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Inkonsistente Sprachen- und Regionsrückverweise","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Nicht-Canonical-Rückverweislink","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Noindex-Rückverweise","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Falsche Sprach- und Regionscodes","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Mehrere Einträge","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Fehlende Selbstreferenz","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Ohne Canonical-Verwendung","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Fehlendes X-Default","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Fehlende","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
"Außerhalb von <head>","0","0,00%","122","Interne Seiten mit 2xx-Antwort"
""
"JavaScript"
"Alle","122","100,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Seiten mit blockierten Ressourcen","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Enthält JavaScript-Links","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Enthält JavaScript-Inhalte","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Noindex nur in Original-HTML","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Nofollow nur in Original-HTML","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Canonical nur in gerendertem HTML","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Canonical-Nichtübereinstimmung","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Seitentitel nur in gerendertem HTML","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
